ts,epoch,cam_id,name,cls,box_w,box_h,area_px,aspect,frames,heading,px_per_frame,moving
2026-09-07 00:00:00,1788739173.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,77,71,5467,1.085,2,26.6,1.12,false
2026-09-07 00:00:00,1788739175.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,47,45,2115,1.044,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,74,33,2442,2.242,1,0.0,0.0,false
2026-09-07 00:00:00,1788739177.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,72,72,5184,1.0,1,0.0,0.0,false
2026-09-07 00:00:00,1788739177.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,35,45,1575,0.778,1,0.0,0.0,false
2026-09-07 00:00:00,1788739175.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,34,32,1088,1.062,2,281.3,5.1,false
2026-09-07 00:00:00,1788739163.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,49,58,2842,0.845,9,146.3,0.23,false
2026-09-07 00:00:00,1788739173.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,112,94,10528,1.191,7,315.0,0.35,false
2026-09-07 00:00:00,1788739179.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,30,17,510,1.765,2,0.0,0.0,false
2026-09-07 00:00:00,1788739181.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,74,66,4884,1.121,2,101.3,2.55,false
2026-09-07 00:00:00,1788739181.5,fde1748c-7c0f-4df8-8acd-120df29a9305,Atlantic Ave @ Eastern Pkwy,car,28,28,784,1.0,1,0.0,0.0,false
